SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-18-2022,Condo/Co-op,355 1st St #2704,San Francisco,CA,94105,2190000,2,2.0,San Francisco,1560,38571,2004,,1404,1119,Sold,,,https://www.redfin.com/CA/San-Francisco/355-1st-St-94105/unit-2704/home/162596895,San Francisco MLS,422628010,N,Y,37.7868803,-122.3934978
PAST SALE,,Condo/Co-op,330 Mission Bay Blvd N #504,San Francisco,CA,94158,1625000,2,2.0,,1184,,2008,,1372,,,,,https://www.redfin.com/CA/San-Francisco/330-Mission-Bay-Blvd-N-94158/unit-504/home/23424528,,,N,Y,37.7714073,-122.3873904
PAST SALE,,Condo/Co-op,160 Folsom St Unit 24C,San Francisco,CA,94105,1740000,2,2.0,,1187,,2020,,1466,,,,,https://www.redfin.com/CA/San-Francisco/160-Folsom-St-94105/unit-24C/home/177205627,,,N,Y,37.7898307,-122.3917022
PAST SALE,,Multi-Family (2-4 Unit),3628-3630 Fillmore St #3630,San Francisco,CA,94123,1775000,7,5.0,,4750,2500,1936,,374,,,,,https://www.redfin.com/CA/San-Francisco/3628-3630-Fillmore-St-94123/unit-3630/home/2003007,,,N,Y,37.8032762,-122.4364728
PAST SALE,May-2-2022,Condo/Co-op,3628 - 3630 Fillmore St #3628,San Francisco,CA,94123,1775000,3,2.0,San Francisco,1800,,,,986,462,Sold,,,https://www.redfin.com/CA/San-Francisco/3628-Fillmore-St-94123/unit-3628/home/178929068,San Francisco MLS,422642002,N,Y,37.8032762,-122.4364728
PAST SALE,April-1-2022,Condo/Co-op,594 Lombard St,San Francisco,CA,94133,1900000,3,3.5,San Francisco,2625,2395,1926,,724,288,Sold,,,https://www.redfin.com/CA/San-Francisco/594-Lombard-St-94133/home/146440886,San Francisco MLS,422622066,N,Y,37.8031727,-122.4111661
PAST SALE,,Townhouse,11 Kirkwood Ave,San Francisco,CA,94124,1275000,3,3.0,,2050,2029,2019,,622,,,,,https://www.redfin.com/CA/San-Francisco/11-Kirkwood-Ave-94124/home/173337396,,,N,Y,37.7268664,-122.3690105
PAST SALE,,Townhouse,594 Hudson Ave,San Francisco,CA,94124,1185000,3,2.0,,1527,1485,2020,,776,,,,,https://www.redfin.com/CA/San-Francisco/594-Hudson-Ave-94124/home/146949727,,,N,Y,37.7295125,-122.3692669
PAST SALE,April-8-2022,Multi-Family (2-4 Unit),3774 Mission St,San Francisco,CA,94110,900000,2,0.5,San Francisco,2372,2495,1910,,379,,Sold,,,https://www.redfin.com/CA/San-Francisco/3774-Mission-St-94110/home/60366509,San Francisco MLS,422633920,N,Y,37.7364325,-122.4245278
PAST SALE,,Condo/Co-op,330 Berry St #506,San Francisco,CA,94158,325000,2,2.0,,903,,2009,,360,,,,,https://www.redfin.com/CA/San-Francisco/330-Berry-St-94158/unit-506/home/28939182,,,N,Y,37.7735244,-122.3965489
